ダウンロードした時刻：2022/05/07 09:16:56

,横浜,横浜,横浜,横浜,横浜,横浜,横浜,横浜,横浜
年月日,平均気温(℃),平均気温(℃),平均気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃)
,,,,,,,,,
,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
2022/4/1,8.0,8,1,12.5,8,1,3.9,8,1
2022/4/2,9.0,8,1,12.9,8,1,5.2,8,1
2022/4/3,8.4,8,1,10.4,8,1,7.1,8,1
2022/4/4,8.8,8,1,10.1,8,1,7.5,8,1
2022/4/5,12.8,8,1,17.7,8,1,8.8,8,1
2022/4/6,16.0,8,1,21.4,8,1,11.7,8,1
2022/4/7,15.0,8,1,18.1,8,1,12.6,8,1
2022/4/8,15.7,8,1,21.2,8,1,11.1,8,1
2022/4/9,17.2,8,1,23.0,8,1,11.2,8,1
2022/4/10,19.4,8,1,26.1,8,1,14.6,8,1
2022/4/11,19.2,8,1,24.4,8,1,15.1,8,1
2022/4/12,20.1,8,1,24.9,8,1,16.3,8,1
2022/4/13,20.9,8,1,26.2,8,1,16.6,8,1
2022/4/14,13.1,8,1,21.2,8,1,10.5,8,1
2022/4/15,10.7,8,1,12.1,8,1,8.8,8,1
2022/4/16,12.1,8,1,17.2,8,1,8.6,8,1
2022/4/17,13.4,8,1,17.4,8,1,10.7,8,1
2022/4/18,14.5,8,1,17.6,8,1,12.4,8,1
2022/4/19,15.3,8,1,20.0,8,1,11.7,8,1
2022/4/20,12.7,8,1,14.0,8,1,10.2,8,1
2022/4/21,16.0,8,1,20.0,8,1,12.0,8,1
2022/4/22,19.4,8,1,25.7,8,1,13.9,8,1
2022/4/23,20.7,8,1,26.0,8,1,17.1,8,1
2022/4/24,17.8,8,1,20.7,8,1,15.1,8,1
2022/4/25,19.7,8,1,26.6,8,1,13.8,8,1
2022/4/26,20.8,8,1,22.6,8,1,18.0,8,1
2022/4/27,22.5,8,1,26.0,8,1,19.3,8,1
2022/4/28,16.9,8,1,20.7,8,1,14.6,8,1
2022/4/29,13.6,8,1,16.6,8,1,10.2,8,1
2022/4/30,12.9,8,1,17.1,8,1,9.0,8,1
